SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
CN1CCCCC1CN(CC2=CC=C(C=C2)OC)CC3=CC=CC=N3,True,True,True,True,True,False
CCCN1C=CN=C(C1=O)N2CCOC(C2)CBr,True,True,True,True,True,True
CC1=C(C=CC(=N1)C(C)OC(C)C)C(=O)NC2=CC(=CC=C2)OC3=CC(=CC=C3)Cl,True,True,True,True,True,True
C1CC2=C(C1)SC(=C2C#N)NC(=O)COC(=O)CCC(=O)C3=CC4=C(C=C3)OCCO4,True,True,True,True,True,True
CCCCNC(=O)N=C1N(C=CS1)CC,True,True,True,True,True,False
CC(C)(C)OC(=O)NC1=CC2=CC=CC=C2N(CC1)SI,True,True,,True,True,True
CC(C)C1=CC=C(C=C1)N2C(=C(C=N2)C(=O)O)N,True,True,,True,True,True
CC1=C(C(=NN2C1=NN=C2C3CCS(=O)(=O)C3)Cl)C,True,True,,True,True,True
CC1=NC=CC(=C1)C2=CC=C(C=C2)NC(=O)C(C)C3=CC=C(C=C3)N(C4CC4)C5CC5,True,True,,True,True,True
CC(C(=O)NC1=C(N=C(N=C1N)C2=NN(C3=C2C=C(C=N3)F)CC4=C(C=CC=C4F)F)N)(F)F,True,True,,True,True,True
C1CCN(C1)CCOC2=CC=CC3=C2C(=O)C(=O)C=C3,True,True,,True,True,True
CN(CCN1CCCCC1)C(=O)CCCCCNC2=C(C=C(C=C2)C(=O)N(C)CCCN(C)C(=O)COC3CC4=CC=CC=C4C35CCN(CC5)CCC6(CN(CO6)C(=O)C7=CC(=CC(=C7)C(F)(F)F)C(F)(F)F)C8=CC=C(C=C8)F)F,True,True,,True,True,True
C1=CC=C(C(=C1)NC(=O)C2=CC=C(C=C2)CCN)Cl,True,True,,True,True,True
C1CN(CCC12C(=O)N(CN2C3=CC=CC=C3)CCNCCC4=CC(=CC=C4)F)C(=O)C(CC5=CC=C(C=C5)Cl)NC(=O)C6CC7=CC=CC=C7CN6,True,True,,True,True,True
CC1(C=C(C2=C(N1)C=CC(=C2)C3=CC=CC=C3OC)CSCC(=O)NC)C,True,True,,True,True,True
