SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
CCC1=NN(C(=C1)C(=O)NC2=C(C=CC(=C2)Cl)N(C)C)C,True,True,True,True,True,True
CC1=CC(=NC(=N1)CSC2=NC=C(C=C2)N)Cl,True,True,True,True,True,True
[HH].[HH].CCC(=C)NC(=C)C.CC=CC=CC=C.CC1CCC(CC1)C(=C)C.CC1=C(C=C(C=C1)C(C)CC(=O)C)F.CC(=O)NCCN.CO.C=C.N.N.O.F,True,True,True,True,True,True
C=CCNC1=CC(=NC2=C1C(=CN2)C(F)(F)F)NC3=CC=CC4=C3OCC4,True,True,True,True,True,True
CC1(C(=O)N(C2=CC=CC=C2N1)CC3=CC=C(O3)C(=O)OC)C,True,True,True,True,True,True
C1CC1C2=NC(=NC3=C2CNCC3)CC4=CC=C(C=C4)Br,True,True,,True,True,True
CCCNC(C)C(=CC1=CC(=C(C=C1)OC)F)C,True,True,,True,True,True
CC(=CCNC1=NC(=CC=C1)OC)C,True,True,,True,True,False
CC1CCCCCCC2=CC3=C(C=C2)C=CN=C3OC4CC(N(C4)C(=O)CN1)C(=O)NC(C)(CC=C)C(=O)NS(=O)(=O)C5CC5,True,True,,True,True,True
CC1=CC=C(C=C1)C2C(=C(N(C(=O)N2)CC3=CC=CO3)C)C4=NC(=NO4)C5=CC(=CC=C5)F,True,True,,True,True,True
CN(CC1=CC=CC=C1)C(=O)C2=C(C3=C(C=CC=N3)C=C2)S,True,True,,True,True,True
CCC1CCC(CC1)C2CCC(CC2)C(=O)OC3=CC=C(C=C3)C=CC(=O)OCCC4=C(C=C(C=C4)N)N,True,True,,True,True,True
CC1CC(=NNC(=O)C(C)OC2=CC=CC=C2F)C3=C(C=CC(=C13)F)O,True,True,,True,True,True
CC(C)(C)NC(=O)CN1CCC2(C1)CCNC2,True,True,,True,True,False
CCC1=CC(=O)OC2=C1C=CC(=C2)OC(C)C(=O)NC(C(C)C)C(=O)O,True,True,,True,True,True
CC(C1=CC2=C(C(=CC=C2)C3=CC(=CC=C3)S(=O)(=O)C)C(=O)N1C4=CC=CC=C4)NC5=NC(=NC=C5[N+]#[C-])N,True,True,,True,True,True
CC1=CC(=C(C=C1)OC)N2C(=O)C(=C(C2=O)Cl)NC3=CC=C(C=C3)C(=O)NC4=CC=CC=C4Br,True,True,,True,True,True
CCCC=CC(CCC1C(CC2C1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O,True,True,,True,True,True
C1CCC2(C1)CNC3=CC=CC=C3O2,True,True,,True,True,False
C1CN(CCC1N2CCC(CC2)OC3=CC=CC=C3F)C(=O)CCC4=CC=C(C=C4)[N+](=O)[O-],True,True,,True,True,True
CC(C)(C)OC(=O)NC(CC1=CC=C(C=C1)C2=CC=CC=C2)C(=O)OCC3=CC=CC=C3.CC(C)(C)OC(=O)N(C)C(CC1=CC=C(C=C1)C2=CC=CC=C2)C(=O)OCC3=CC=CC=C3.CF,True,True,,True,True,True
CCN1C(=O)COC2=C1C=CC(=C2)NC(=O)C=CC3=CC=CC=C3,True,True,,True,True,True
CC1=CC=C(C=C1)CNC(=O)COC2=C(C=C(C=C2)Br)C(C)(C)C,True,True,,True,True,True
CC1(C2=C(C=C(C=C2)C3=CC4=C(C=C3)N(C5=C4C=CC6=C5SC7=CC=CC=C67)C8=CC=CC=C8)C9=C1C=CC(=C9)C1=CC2=C(C=C1)N(C1=C2C=C2C(=C1)C1=CC=CC=C1N2C1=CC=CC=C1)C1=NC(=NC(=N1)C1=CC=CC=C1)C1=CC=CC=C1)C.C1=CC=C(C=C1)C2=CC(=NC(=N2)N3C4=C(C=C(C=C4)C5=CC6=C(C=C5)N(C7=C6C=C(C=C7)C8=CC9=C(C=C8)N(C1=C9C=CC2=C1SC1=CC=CC=C21)C1=CC=CC=C1)C1=NC=NC=N1)C1=C3C=C2C3=CC=CC=C3N(C2=C1)C1=CC=CC=C1)C1=CC=CC=C1.C1=CC=C(C=C1)C2=NC(=NC(=N2)N3C4=C(C=C(C=C4)C5=CC6=C(C=C5)N(C7=C6C=C(C=C7)C8=CC9=C(C=C8)N(C1=C9C=CC2=C1SC1=CC=CC=C21)C1=CC=CC=C1)C1=CC=CC=C1)C1=C3C=C2C3=CC=CC=C3N(C2=C1)C1=CC=CC=C1)C1=CC=CC=C1,True,True,,True,True,True
CCCCCCCCCCCCCCCCCCCCCCC(C(C(CO)NC(=O)C(CCCCCCCCCCCCCCCCC=CCCCCCCCCCCCCCC)O)O)O,True,True,,True,True,False
CNC12CCC(C1)(CC2)C(=O)O,True,True,,True,True,True
CC(C)(C)OC(=O)N1CCC(CC1)NC2=NC(=C(C=C2[N+](=O)[O-])Br)[N+]#[C-],True,True,,True,True,True
CC(C)N(CC1=CC=CC=C1)C(=O)C2=CC(=C(S2)Cl)[N+](=O)[O-],True,True,,True,True,True
CC1C=C(C2=CN=C(N=C12)NC3CC(C3)(C)C(=O)N4CCCC4)C5=CN6C=CN=C6N=C5,True,True,,True,True,True
CC1CC1C(=O)N2CCC(CC2)N3CCC(CC3)N4C5CCCCC5NC4=O,True,True,,True,True,True
COC1=C(C=C(C(=C1)N2C=CC=N2)I)Br,True,True,,True,True,True
C1CC(C1)N2CC3CCC(C2)N3C4=NC(=C(S4)C5=NC(=NC=C5)NC6C7C6CS(=O)(=O)C7)C8=C(C(=CC=C8)NS(=O)(=O)C9=C(C=CC=C9F)F)F,True,True,,True,True,True
COCCCNS(=O)(=O)C1=C(N=CC=C1)Cl,True,True,,True,True,False
CCC1CCN(CC1OC(=O)C(C2=CC=CC=C2)NC3=CC=C(C=C3)F)CC4=NOC(=N4)C(=CC=C)C=CC,True,True,,True,True,True
CC1(CC(C1)NC(=O)CC(C)(C)C)F,True,True,,True,True,True
CCC(C)NCCOC1=CC(=C(C=C1)C)F,True,True,,True,True,True
CC1=C(SC=N1)CNC2=C(C=C(C=C2)S(=O)(=O)N)[N+](=O)[O-],True,True,,True,True,True
C12=C(N=C(NC1=O)N)N(C(=O)S2)I,True,True,,True,True,True
CC(C)C(C(=O)OC)NC(=O)OC1=C(C=C(C=C1Cl)SNC2=CC=C(C=C2)CCCNC3=NC4=NC(=NN4C(=N3)N)C5=CC=CO5)C(=O)N,True,True,,True,True,True
CC1=CC(=C(C=C1)NS(=O)(=O)C2=C(N=CC=C2)Cl)OC,True,True,,True,True,True
CC(C(=O)NC1CCCC1)OC(=O)CCNC2=NC=CC=N2,True,True,,True,True,False
COC(=O)C1=CC=C(C=C1)OC2=CC=C(C=C2)COCC=O,True,True,,True,True,False
CC(CNS(=O)(=O)C1=CC=CC2=C1C=CC(=C2)N)SC,True,True,,True,True,True
CC1=CC=C(C=C1)C2=NC3=C(C=NN3C(=C2)C(F)F)C(=O)NC4=CC(=C(C=C4OC)Cl)OC,True,True,,True,True,True
CC1=NC(=C(C=C1)CNC(=O)CN2C(=CN=C(C2=O)NNC(=O)NCC3=CC=C(C=C3)Cl)C)C,True,True,,True,True,True
CC1=CC=CC=C1CC(=O)NCC2COC3=CC=CC=C23,True,True,,True,True,True
CCCNC1=C(C(=NC(=N1)C)N2CCCC(C2)COC)C,True,True,,True,True,True
CCC(C)CC(=C(C)CC)C=CC(=CC)C(C)(C)O.CC1=CC(=C(C=N1)C(=O)NC2=NN=C(S2)C)C3=CC(=NC=C3)Cl,True,True,,True,True,True
CCCCCCCCCCCCCCCCC(CCCCCCCCC=CCC=CCCCCC)N(C)CCCCO,True,True,,True,True,False
CC1=CC(=CC=C1)C(C(C)N)SCC2=CC(=CC(=C2)C)C,True,True,,True,True,True
